id,rsquared
0,0.7220356388496447
1,0.5834487359702605
2,0.47744486968829297
3,0.7831216219934215
4,0.9333077168795461
5,0.9991393940117899
6,0.9927735935438118
7,0.9927580557533693
8,0.9985597114875541
9,0.9964334671315241
10,1.0
11,0.956099616051168
12,0.942045742470347
13,1.0
14,1.0
15,1.0
16,0.9968975967626635
17,0.9991836851547882
18,0.2849135768079846
19,0.6403300898374695
20,0.7762788099496092
21,0.8628480001000309
22,0.7429600074624201
23,0.7594716452758888
24,0.9172738467367624
25,1.0
26,0.9909861624374008
27,0.9936765545738576
28,0.9397002973939537
29,1.0
